tenure,monthly_charges,total_charges,support_calls,data_usage_gb,contract_type,payment_method,internet_service,paperless_billing,is_senior,churned
19,64.01,1208.19,10,14.67,one-year,mailed_check,dsl,1,0,1
45,32.58,1461.49,5,19.11,month-to-month,mailed_check,fiber,0,0,0
11,29.17,233.27,6,20.0,two-year,electronic_check,none,1,0,0
54,86.75,4702.37,10,7.05,month-to-month,credit_card,fiber,1,0,0
50,85.55,4325.2,6,19.73,month-to-month,mailed_check,fiber,0,0,0
25,86.29,2039.61,2,19.43,month-to-month,electronic_check,dsl,1,0,1
4,21.98,69.16,4,19.75,month-to-month,electronic_check,dsl,1,0,0
69,52.65,3541.34,5,30.5,month-to-month,credit_card,dsl,1,0,1
32,39.78,1617.91,5,6.78,month-to-month,bank_transfer,fiber,1,0,1
64,97.82,6247.02,1,14.35,month-to-month,electronic_check,dsl,0,0,0
48,106.06,5322.66,1,3.19,month-to-month,mailed_check,dsl,0,0,0
56,44.67,2472.18,3,28.59,one-year,electronic_check,fiber,0,0,1
54,86.78,4725.01,10,7.79,month-to-month,bank_transfer,fiber,1,0,1
14,32.94,262.96,7,33.73,month-to-month,electronic_check,fiber,0,0,1
26,47.52,1168.46,9,34.53,month-to-month,bank_transfer,dsl,0,1,1
33,33.87,1149.29,1,15.46,two-year,bank_transfer,fiber,1,0,0
35,48.35,1930.15,4,14.84,one-year,credit_card,fiber,0,0,0
3,87.47,295.71,6,4.68,two-year,credit_card,dsl,1,0,0
39,111.03,4537.73,4,17.84,two-year,electronic_check,fiber,1,0,1
11,40.25,538.86,4,30.31,month-to-month,credit_card,dsl,0,0,1
53,74.21,4177.24,3,21.55,one-year,credit_card,none,0,1,1
49,90.14,4408.0,0,43.02,month-to-month,mailed_check,none,0,0,1
66,115.29,7967.67,9,13.07,two-year,electronic_check,dsl,1,0,0
53,81.01,4220.72,10,13.05,month-to-month,credit_card,fiber,0,0,1
26,45.51,1068.29,0,8.27,month-to-month,bank_transfer,fiber,1,0,1
69,82.55,5514.44,4,62.16,two-year,electronic_check,fiber,1,0,0
29,52.05,1859.1,5,4.64,two-year,bank_transfer,fiber,0,0,0
23,117.61,2827.95,8,28.84,two-year,bank_transfer,fiber,1,0,1
65,59.97,3847.93,10,30.74,month-to-month,bank_transfer,dsl,1,0,1
26,88.54,2489.39,4,29.85,month-to-month,credit_card,dsl,0,0,0
5,22.32,214.75,8,8.89,month-to-month,electronic_check,fiber,1,0,1
33,60.01,2275.25,10,15.45,month-to-month,credit_card,fiber,0,0,0
57,107.51,5895.9,9,26.04,month-to-month,bank_transfer,fiber,1,0,1
13,81.02,1013.46,3,10.65,month-to-month,credit_card,fiber,0,0,0
33,64.39,2055.49,8,13.83,one-year,credit_card,fiber,1,0,1
9,113.59,726.26,4,10.81,month-to-month,credit_card,fiber,1,0,1
49,105.4,5323.65,0,18.76,one-year,mailed_check,none,1,0,0
34,52.22,1734.92,8,17.86,two-year,credit_card,fiber,1,1,0
23,74.45,1823.29,9,48.14,one-year,credit_card,fiber,0,0,1
16,68.98,1457.65,3,26.44,month-to-month,credit_card,none,1,0,1
40,83.22,3275.81,4,5.77,month-to-month,electronic_check,fiber,0,0,0
48,53.41,2500.51,4,6.22,month-to-month,bank_transfer,fiber,0,0,1
67,44.42,2993.94,1,29.19,one-year,mailed_check,fiber,0,0,0
31,111.27,3597.46,10,17.71,month-to-month,electronic_check,dsl,1,0,1
11,112.39,1151.28,0,59.78,month-to-month,bank_transfer,fiber,1,0,1
59,104.33,6060.83,6,59.67,two-year,electronic_check,fiber,0,0,0
45,117.82,5460.48,0,8.22,one-year,credit_card,fiber,1,0,1
50,94.5,4781.8,7,21.79,two-year,mailed_check,dsl,1,0,0
7,96.47,368.58,9,6.3,month-to-month,mailed_check,fiber,0,1,1
22,96.26,1933.91,7,28.85,two-year,credit_card,fiber,1,0,1
55,68.06,3968.49,6,52.71,month-to-month,electronic_check,fiber,1,0,0
59,65.65,3933.64,9,19.65,month-to-month,credit_card,dsl,1,0,1
31,44.02,1250.29,10,12.7,two-year,bank_transfer,fiber,1,0,0
57,84.48,4789.8,9,23.41,two-year,electronic_check,dsl,1,0,0
60,48.93,2937.79,2,33.01,month-to-month,mailed_check,dsl,0,0,0
27,45.78,1346.42,6,33.17,month-to-month,bank_transfer,dsl,1,1,1
64,78.6,4826.66,9,12.82,month-to-month,electronic_check,fiber,0,0,0
20,61.0,1093.86,3,10.43,one-year,electronic_check,fiber,0,0,0
17,41.89,753.07,7,20.96,two-year,credit_card,fiber,0,1,1
49,101.61,4963.91,0,13.51,month-to-month,electronic_check,fiber,1,0,1
45,106.06,4858.48,9,39.83,month-to-month,electronic_check,fiber,0,1,1
10,36.77,183.27,6,13.38,one-year,electronic_check,fiber,0,1,1
59,20.75,1277.82,8,18.62,one-year,mailed_check,dsl,0,0,0
14,53.61,914.28,9,23.0,month-to-month,credit_card,dsl,1,0,0
57,99.75,5758.77,2,4.81,one-year,credit_card,dsl,0,0,0
0,103.92,20.87,4,11.17,two-year,credit_card,fiber,0,0,1
57,33.83,1913.93,9,58.07,month-to-month,credit_card,none,0,0,0
56,97.43,5330.85,1,32.07,one-year,bank_transfer,fiber,1,0,0
56,31.57,1757.12,9,13.24,one-year,mailed_check,fiber,0,0,0
47,59.01,2962.43,3,28.93,month-to-month,bank_transfer,dsl,0,0,0
33,119.86,3937.53,6,39.39,two-year,electronic_check,none,1,0,0
50,39.26,1829.53,5,14.9,one-year,bank_transfer,fiber,1,0,0
19,35.4,598.76,7,31.04,month-to-month,bank_transfer,dsl,1,0,1
56,62.28,3517.81,9,28.09,month-to-month,electronic_check,none,1,0,1
40,81.97,3222.77,3,6.4,one-year,electronic_check,fiber,1,0,0
33,113.29,3811.37,1,14.97,month-to-month,bank_transfer,dsl,1,0,1
36,118.08,4329.31,4,48.98,month-to-month,mailed_check,dsl,1,0,1
40,26.96,1211.75,6,56.99,month-to-month,bank_transfer,dsl,1,0,1
2,33.8,281.13,8,32.25,one-year,credit_card,fiber,1,0,1
10,99.07,1140.08,8,10.87,two-year,bank_transfer,fiber,1,0,1
17,47.06,659.88,3,1.71,one-year,electronic_check,none,0,0,0
8,108.48,732.31,10,9.68,two-year,bank_transfer,dsl,1,0,1
31,86.35,2665.48,0,5.6,month-to-month,electronic_check,fiber,1,0,0
48,31.18,1428.96,1,51.37,month-to-month,bank_transfer,fiber,1,1,0
47,103.25,4682.0,0,3.11,two-year,bank_transfer,fiber,0,0,0
33,37.64,1175.87,10,6.56,month-to-month,mailed_check,fiber,0,0,1
61,62.35,3732.17,1,20.65,two-year,bank_transfer,fiber,1,1,0
40,75.22,2908.02,6,17.62,month-to-month,bank_transfer,fiber,1,0,0
5,70.08,303.03,8,47.4,month-to-month,credit_card,fiber,0,0,1
55,88.62,5050.87,8,26.9,one-year,bank_transfer,dsl,1,0,0
41,85.27,3525.96,10,15.82,month-to-month,bank_transfer,fiber,0,0,0
45,119.2,5734.77,0,40.32,month-to-month,credit_card,fiber,1,0,0
40,119.94,4823.18,4,12.94,month-to-month,electronic_check,dsl,1,0,1
39,71.65,2750.84,5,49.95,month-to-month,credit_card,dsl,1,0,0
6,29.52,177.74,7,8.59,month-to-month,credit_card,none,0,0,0
40,92.78,3749.67,6,17.14,two-year,electronic_check,dsl,0,0,0
57,117.67,6772.48,6,2.07,month-to-month,credit_card,dsl,0,0,1
21,51.83,1399.94,3,33.4,two-year,electronic_check,fiber,1,0,1
43,66.12,2716.36,1,19.8,one-year,electronic_check,dsl,1,0,0
2,62.48,253.82,4,50.04,month-to-month,bank_transfer,dsl,1,1,1
25,25.14,659.66,2,14.55,month-to-month,credit_card,dsl,1,0,1
31,87.23,2468.47,6,4.74,two-year,bank_transfer,dsl,0,0,0
70,55.33,3988.7,8,24.53,one-year,credit_card,fiber,0,0,0
15,98.75,1671.39,6,11.45,two-year,bank_transfer,fiber,1,0,1
19,103.21,1832.41,6,30.19,month-to-month,electronic_check,dsl,1,0,1
29,102.12,2960.14,0,8.75,one-year,electronic_check,fiber,0,0,1
71,61.67,4119.77,7,44.26,one-year,bank_transfer,fiber,1,0,0
61,52.15,2992.33,4,18.61,two-year,mailed_check,dsl,1,0,0
2,94.88,346.96,1,15.87,month-to-month,credit_card,fiber,0,0,0
16,100.14,1532.28,2,42.32,two-year,mailed_check,dsl,0,0,1
59,69.13,3912.35,8,33.73,month-to-month,electronic_check,dsl,1,0,0
4,109.3,471.62,10,9.83,two-year,bank_transfer,dsl,0,0,0
61,34.39,2019.43,5,33.07,month-to-month,credit_card,dsl,0,0,0
20,107.91,2087.58,10,28.55,one-year,credit_card,fiber,1,0,0
66,29.61,2065.16,1,16.56,month-to-month,mailed_check,none,1,0,0
21,35.35,568.09,3,31.27,two-year,credit_card,fiber,0,0,1
31,73.38,2138.98,10,44.13,month-to-month,mailed_check,dsl,0,0,0
47,26.75,1280.36,1,16.93,month-to-month,bank_transfer,fiber,1,0,0
9,25.28,372.93,7,16.98,one-year,bank_transfer,fiber,0,0,1
40,20.05,987.72,2,16.28,one-year,electronic_check,dsl,1,0,1
36,63.63,2190.92,3,9.49,month-to-month,credit_card,none,1,0,1
56,97.46,5598.37,5,16.8,one-year,bank_transfer,fiber,0,0,1
71,23.48,1549.46,3,15.41,month-to-month,mailed_check,dsl,1,0,0
47,85.23,4279.74,9,14.73,one-year,credit_card,none,0,0,0
29,102.31,2796.92,10,14.55,one-year,mailed_check,dsl,1,0,1
29,36.8,1266.47,5,6.55,one-year,mailed_check,fiber,1,0,0
30,34.69,942.23,5,36.05,two-year,credit_card,dsl,0,0,1
58,106.08,6454.63,0,11.16,month-to-month,bank_transfer,dsl,0,0,0
23,102.31,2441.83,2,45.78,month-to-month,credit_card,none,1,0,0
12,73.89,734.28,0,7.9,one-year,electronic_check,fiber,1,0,1
24,101.92,2367.74,9,52.76,month-to-month,mailed_check,dsl,0,0,1
1,29.28,146.46,2,13.44,month-to-month,mailed_check,fiber,0,0,0
7,59.45,574.05,3,33.35,one-year,mailed_check,fiber,0,1,1
6,93.78,552.07,9,19.66,month-to-month,credit_card,none,1,0,1
55,45.75,2522.95,7,5.73,month-to-month,bank_transfer,none,0,0,0
52,95.23,5065.71,6,6.02,two-year,credit_card,none,0,0,0
50,70.42,3540.77,0,10.4,month-to-month,mailed_check,fiber,0,0,0
33,95.03,2941.96,6,12.85,month-to-month,credit_card,dsl,1,0,1
51,66.47,3268.02,6,17.34,month-to-month,credit_card,none,1,1,1
11,56.79,659.96,3,22.84,month-to-month,credit_card,dsl,1,0,1
64,41.92,2865.2,8,15.66,one-year,credit_card,dsl,1,0,0
36,40.84,1712.64,10,21.97,one-year,credit_card,fiber,1,0,1
67,95.15,6491.98,2,24.6,one-year,credit_card,dsl,0,0,0
10,31.89,361.99,3,15.13,month-to-month,mailed_check,fiber,0,0,0
35,28.6,1113.32,3,28.23,month-to-month,electronic_check,none,0,1,0
50,37.63,1781.49,9,32.69,month-to-month,credit_card,fiber,0,1,0
35,37.53,1290.57,0,25.05,one-year,electronic_check,fiber,1,0,0
32,102.31,3150.3,9,26.06,one-year,bank_transfer,fiber,0,0,0
11,59.85,471.04,8,20.58,month-to-month,electronic_check,fiber,1,0,1
27,119.04,3264.11,5,38.19,two-year,bank_transfer,dsl,0,0,0
17,33.72,601.07,6,17.64,one-year,electronic_check,dsl,1,0,0
21,85.35,1895.5,9,10.56,month-to-month,bank_transfer,fiber,0,0,0
49,64.87,3260.55,8,18.04,one-year,credit_card,fiber,0,1,0
45,59.29,2704.45,3,5.82,one-year,electronic_check,fiber,0,0,1
43,107.51,4706.42,0,5.17,month-to-month,electronic_check,dsl,1,0,1
26,117.56,3050.16,7,32.79,month-to-month,electronic_check,dsl,1,0,1
69,107.29,7464.94,1,46.28,one-year,bank_transfer,fiber,1,0,0
6,39.23,126.46,0,13.78,two-year,bank_transfer,fiber,1,0,0
24,42.08,1065.38,10,33.01,one-year,electronic_check,fiber,1,0,1
8,85.61,785.14,5,2.7,one-year,credit_card,fiber,1,1,1
24,48.91,1073.39,7,25.11,one-year,credit_card,fiber,0,0,0
69,93.47,6457.2,2,17.7,month-to-month,bank_transfer,dsl,0,0,0
26,76.64,1899.1,1,51.3,month-to-month,credit_card,fiber,0,0,1
65,75.09,4801.87,0,15.88,month-to-month,bank_transfer,dsl,1,0,0
35,102.85,3431.01,3,7.39,two-year,credit_card,dsl,1,1,1
50,91.05,4742.37,0,4.49,two-year,electronic_check,fiber,1,0,0
32,22.66,884.97,4,18.03,two-year,electronic_check,dsl,1,0,0
19,24.95,554.67,3,20.55,month-to-month,electronic_check,dsl,0,0,0
55,80.16,4704.63,5,15.15,month-to-month,electronic_check,fiber,1,0,1
69,68.62,4706.39,6,33.51,one-year,bank_transfer,fiber,1,0,0
18,46.02,1283.12,3,43.01,month-to-month,mailed_check,none,1,0,1
56,61.87,3430.59,5,13.66,month-to-month,electronic_check,fiber,0,0,0
18,95.79,1762.5,0,3.28,one-year,bank_transfer,dsl,0,0,0
51,102.66,5175.99,3,22.06,one-year,credit_card,fiber,0,0,0
56,76.12,4318.57,10,38.7,one-year,electronic_check,dsl,1,0,0
32,58.54,1998.62,10,13.71,month-to-month,electronic_check,fiber,1,0,1
53,47.07,2477.62,5,26.06,month-to-month,electronic_check,dsl,0,0,1
19,72.19,1638.12,10,6.91,month-to-month,electronic_check,dsl,1,0,1
5,51.47,293.22,5,21.68,month-to-month,mailed_check,dsl,1,1,1
6,76.41,499.03,1,26.39,month-to-month,mailed_check,fiber,1,0,0
32,87.67,2669.09,9,22.12,month-to-month,electronic_check,dsl,1,0,1
64,26.61,1765.81,4,60.23,two-year,mailed_check,fiber,1,0,0
9,20.11,160.89,6,45.91,month-to-month,mailed_check,fiber,1,0,0
32,41.23,1228.12,7,29.41,month-to-month,credit_card,fiber,1,0,0
50,109.45,5356.03,3,36.29,month-to-month,electronic_check,fiber,0,0,1
14,84.63,1585.58,8,21.57,one-year,credit_card,dsl,0,0,0
51,37.2,1857.68,5,17.12,month-to-month,credit_card,none,1,1,0
22,109.03,2180.11,4,12.58,month-to-month,credit_card,fiber,1,0,1
58,67.0,3781.27,3,6.77,month-to-month,bank_transfer,fiber,1,0,0
41,67.61,2764.27,8,47.31,month-to-month,credit_card,none,1,0,1
39,113.55,4510.45,2,61.76,one-year,credit_card,dsl,1,0,0
12,25.95,394.62,1,18.35,month-to-month,credit_card,fiber,0,0,0
33,41.52,1471.65,9,18.59,month-to-month,electronic_check,dsl,0,1,0
61,78.58,4696.65,3,27.17,one-year,mailed_check,dsl,0,1,0
1,39.55,90.62,7,15.93,month-to-month,mailed_check,dsl,0,0,1
54,87.95,4617.89,7,7.58,one-year,bank_transfer,fiber,0,0,1
35,41.41,1356.4,9,5.66,month-to-month,credit_card,dsl,1,0,1
51,29.92,1388.26,6,60.35,one-year,mailed_check,fiber,0,0,0
47,40.7,1734.64,7,3.81,month-to-month,credit_card,fiber,1,0,0
31,62.27,2090.0,9,22.72,month-to-month,mailed_check,fiber,1,0,0
22,37.61,930.71,10,4.34,month-to-month,electronic_check,dsl,0,1,1
45,33.47,1652.65,0,16.54,two-year,bank_transfer,fiber,1,0,0
10,106.03,1066.2,8,13.61,month-to-month,credit_card,dsl,1,0,1
42,52.04,2302.2,1,5.08,two-year,credit_card,fiber,1,1,0
6,56.08,72.29,9,27.83,two-year,bank_transfer,dsl,1,0,1
46,25.53,1303.84,0,7.11,month-to-month,bank_transfer,fiber,0,0,1
45,55.74,2534.87,2,4.44,month-to-month,electronic_check,dsl,0,1,0
6,46.48,372.95,2,29.97,month-to-month,electronic_check,fiber,1,0,0
54,81.05,4433.7,6,13.65,two-year,bank_transfer,dsl,0,0,0
29,40.54,1027.6,0,9.62,one-year,credit_card,dsl,1,0,0
56,108.84,5870.33,0,31.25,month-to-month,bank_transfer,fiber,0,0,1
2,112.97,119.13,5,6.79,month-to-month,credit_card,dsl,1,0,1
12,29.98,444.5,10,3.38,two-year,electronic_check,fiber,1,0,1
35,30.74,1179.41,5,41.12,month-to-month,electronic_check,fiber,0,0,1
13,31.53,204.7,4,54.93,month-to-month,electronic_check,fiber,0,0,0
23,81.96,1737.92,7,16.21,month-to-month,bank_transfer,fiber,0,0,1
47,32.2,1404.91,6,16.04,month-to-month,credit_card,fiber,1,0,0
10,105.24,998.8,4,32.48,two-year,electronic_check,none,1,1,1
48,95.43,4376.33,6,38.4,one-year,electronic_check,dsl,0,0,1
7,101.98,500.55,0,7.5,month-to-month,electronic_check,fiber,1,0,1
12,72.61,748.04,2,14.18,month-to-month,bank_transfer,fiber,0,1,1
42,119.67,5039.08,7,21.46,one-year,mailed_check,dsl,1,1,0
57,24.42,1214.85,3,31.21,month-to-month,credit_card,dsl,1,0,0
12,60.13,704.19,0,28.97,month-to-month,bank_transfer,dsl,1,0,0
21,52.39,1258.97,1,25.82,month-to-month,electronic_check,fiber,1,0,0
66,114.86,7385.49,9,38.33,one-year,credit_card,dsl,0,0,0
71,77.69,5485.02,3,17.1,two-year,electronic_check,fiber,0,0,0
41,100.62,4279.13,0,47.6,one-year,bank_transfer,fiber,1,0,0
32,37.03,1122.22,8,11.47,month-to-month,credit_card,fiber,0,0,0
24,117.86,2742.59,5,29.28,one-year,credit_card,dsl,0,0,1
44,69.86,3248.36,4,12.85,month-to-month,electronic_check,fiber,0,0,1
42,69.37,2867.61,9,16.39,two-year,electronic_check,fiber,1,0,0
21,117.09,2624.56,3,18.39,month-to-month,credit_card,dsl,1,0,0
1,58.07,122.41,6,12.27,month-to-month,credit_card,dsl,1,0,1
10,59.75,546.07,8,39.46,month-to-month,credit_card,dsl,0,1,0
69,78.48,5487.07,6,13.35,month-to-month,credit_card,none,0,0,1
30,32.81,1032.37,2,17.69,month-to-month,electronic_check,dsl,0,0,0
34,52.11,1924.87,7,26.95,one-year,credit_card,dsl,1,0,0
33,39.32,1215.31,8,77.58,one-year,credit_card,dsl,0,0,1
56,30.33,1704.66,1,27.64,two-year,credit_card,dsl,1,0,0
4,106.61,417.21,1,18.87,month-to-month,electronic_check,fiber,1,0,0
5,78.93,500.27,7,2.79,month-to-month,electronic_check,fiber,1,0,1
19,55.87,907.75,1,16.06,month-to-month,electronic_check,fiber,1,1,0
35,60.87,2283.0,9,10.58,month-to-month,electronic_check,fiber,1,0,1
48,63.15,3101.15,1,14.04,month-to-month,mailed_check,dsl,1,0,0
35,83.31,2718.31,10,12.64,two-year,bank_transfer,fiber,0,0,0
31,112.68,3674.32,7,26.76,two-year,mailed_check,fiber,1,0,1
67,113.28,7924.87,4,15.8,month-to-month,electronic_check,fiber,1,0,1
11,59.15,800.93,2,8.59,one-year,credit_card,fiber,1,0,1
41,52.93,2384.18,3,33.41,one-year,electronic_check,dsl,0,0,0
39,65.1,2551.71,8,6.15,month-to-month,electronic_check,fiber,1,0,0
34,76.79,2361.63,8,18.24,one-year,electronic_check,fiber,1,0,0
58,66.18,3561.82,2,16.15,month-to-month,credit_card,dsl,1,1,0
19,85.88,1669.98,5,23.2,month-to-month,bank_transfer,fiber,1,0,1
68,75.44,5041.12,10,38.6,two-year,mailed_check,dsl,1,0,0
23,52.07,1060.42,2,85.25,one-year,credit_card,dsl,0,0,0
39,54.57,2118.82,7,18.86,month-to-month,credit_card,fiber,1,0,1
37,57.86,2233.16,1,10.44,month-to-month,credit_card,fiber,0,1,0
61,29.46,1579.15,9,9.63,two-year,bank_transfer,fiber,1,0,0
31,36.61,1067.58,1,9.59,month-to-month,electronic_check,fiber,1,1,0
20,92.31,2072.68,3,22.59,two-year,electronic_check,dsl,0,0,1
1,58.91,0.0,5,2.11,two-year,mailed_check,fiber,0,0,0
26,41.45,1208.16,4,5.81,month-to-month,bank_transfer,none,1,0,0
59,76.27,4427.22,1,22.61,one-year,bank_transfer,dsl,1,0,0
0,95.55,81.87,7,34.55,one-year,credit_card,fiber,1,1,1
64,45.74,3091.96,0,34.69,one-year,credit_card,none,0,0,0
39,102.68,4115.71,10,19.52,month-to-month,electronic_check,dsl,1,0,0
10,112.75,1263.87,0,31.58,month-to-month,credit_card,none,0,0,1
21,79.74,1501.8,3,39.05,month-to-month,credit_card,fiber,0,0,1
39,86.89,3555.76,10,13.19,one-year,mailed_check,fiber,1,0,0
22,25.26,427.82,1,36.42,one-year,electronic_check,fiber,0,0,0
7,114.55,840.78,0,4.08,one-year,credit_card,fiber,1,0,0
47,59.25,2823.49,8,5.66,one-year,electronic_check,fiber,0,0,1
48,112.39,5467.49,0,13.82,month-to-month,bank_transfer,dsl,0,0,0
8,77.9,673.74,9,3.56,month-to-month,mailed_check,fiber,1,0,1
20,20.46,282.63,4,27.07,one-year,electronic_check,none,0,1,0
17,23.85,202.97,9,11.67,month-to-month,credit_card,none,0,0,1
47,88.04,4268.73,2,16.28,one-year,credit_card,none,0,0,1
52,76.27,3993.92,1,16.74,month-to-month,credit_card,fiber,0,1,0
52,22.65,1350.21,10,13.55,month-to-month,electronic_check,fiber,1,0,1
67,94.35,6314.74,8,9.54,two-year,bank_transfer,fiber,0,0,0
55,105.21,5575.78,10,26.16,month-to-month,electronic_check,fiber,1,0,1
23,69.64,1746.64,3,11.47,month-to-month,bank_transfer,fiber,1,0,1
7,66.58,410.5,4,16.57,one-year,bank_transfer,dsl,1,1,0
44,20.55,955.5,6,23.36,one-year,credit_card,dsl,1,0,0
65,98.66,6315.78,4,38.83,two-year,credit_card,fiber,1,0,0
70,53.07,3961.55,2,36.8,two-year,bank_transfer,dsl,1,0,0
16,107.88,1594.6,4,12.32,one-year,electronic_check,dsl,0,0,1
17,57.31,923.66,6,9.12,month-to-month,mailed_check,dsl,1,1,1
2,76.51,169.14,0,44.19,month-to-month,credit_card,fiber,0,0,1
10,47.03,306.47,3,11.42,two-year,electronic_check,none,1,0,0
39,36.06,1455.92,3,25.43,month-to-month,credit_card,fiber,1,0,0
39,97.49,4043.9,0,3.36,two-year,electronic_check,none,0,0,0
26,69.66,1737.59,1,2.04,one-year,credit_card,fiber,0,0,1
22,73.65,1679.57,5,18.85,month-to-month,electronic_check,dsl,0,0,1
59,116.54,6463.44,1,14.9,month-to-month,credit_card,dsl,0,0,0
33,116.36,3834.04,3,30.12,one-year,credit_card,dsl,1,1,0
58,105.56,6075.52,6,9.63,month-to-month,electronic_check,dsl,0,1,1
69,38.76,2551.67,9,22.12,month-to-month,bank_transfer,fiber,1,0,0
22,79.43,1909.68,1,29.02,one-year,bank_transfer,dsl,1,1,1
14,107.81,1460.4,4,9.96,month-to-month,bank_transfer,none,0,0,1
68,57.45,3879.98,1,13.81,month-to-month,mailed_check,fiber,0,0,0
45,30.11,1298.37,4,6.75,one-year,credit_card,dsl,0,0,0
20,101.1,1734.48,5,30.87,one-year,bank_transfer,none,1,0,1
44,68.18,2830.12,8,26.4,month-to-month,mailed_check,none,0,0,0
37,76.44,2972.44,4,27.79,two-year,electronic_check,fiber,0,0,1
65,118.21,7367.16,10,14.86,two-year,bank_transfer,fiber,1,0,1
18,80.72,1338.01,1,26.08,month-to-month,electronic_check,none,1,0,1
71,62.5,4377.54,0,15.89,month-to-month,credit_card,fiber,0,0,0
67,57.0,4080.54,0,49.22,one-year,bank_transfer,fiber,1,0,0
13,61.76,918.17,3,17.74,month-to-month,bank_transfer,dsl,1,0,1
11,31.84,266.66,2,35.37,two-year,electronic_check,fiber,1,0,0
38,99.48,3975.92,1,14.92,one-year,electronic_check,fiber,0,0,0
3,103.77,200.23,2,42.52,month-to-month,credit_card,dsl,1,0,1
21,48.44,1168.6,10,9.1,one-year,credit_card,dsl,0,0,0
31,50.38,1357.95,8,24.15,month-to-month,bank_transfer,dsl,1,0,0
69,107.43,7573.66,0,10.68,two-year,bank_transfer,dsl,0,0,0
71,22.4,1529.48,10,21.44,month-to-month,bank_transfer,dsl,1,0,0
10,72.05,566.22,2,11.47,two-year,electronic_check,fiber,1,0,0
64,66.37,4215.11,4,17.69,month-to-month,bank_transfer,fiber,1,0,0
6,89.01,575.66,3,12.85,one-year,mailed_check,fiber,1,0,1
53,36.34,1851.81,4,28.31,two-year,bank_transfer,fiber,0,0,0
60,86.83,5292.89,8,24.87,month-to-month,credit_card,dsl,0,0,1
64,57.67,3603.43,7,10.37,month-to-month,bank_transfer,fiber,1,0,0
16,81.87,1402.98,6,10.12,two-year,electronic_check,dsl,0,0,0
64,24.01,1602.97,6,8.44,two-year,credit_card,dsl,0,0,0
8,66.17,520.22,8,7.05,month-to-month,credit_card,fiber,1,0,0
37,72.23,2606.3,2,29.64,month-to-month,bank_transfer,none,0,0,0
33,41.43,1389.92,4,8.03,two-year,electronic_check,none,0,0,0
22,33.96,829.66,1,22.75,month-to-month,mailed_check,fiber,1,0,0
1,38.85,348.12,7,11.99,one-year,bank_transfer,fiber,1,0,0
